video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,courses,commentCount,duration,definition,caption,comments
xyAuNHPsq-g,Khan Academy,Introduction to matrices,"What a matrix is.  How to add and subtract them.

Practice this yourself on Khan Academy right now: https://www.khanacademy.org/e/matrix_dimensions?utm_source=YTdescription&utm_medium=YTdescription&utm_campaign=YTdescription

About Khan Academy: Khan Academy is a nonprofit with a mission to provide a free, world-class education for anyone, anywhere. We believe learners of all ages should have unlimited access to free educational content they can master at their own pace. We use intelligent software, deep data analytics and intuitive user interfaces to help students and teachers around the world. Our resources cover preschool through early college education, including math, biology, chemistry, physics, economics, finance, history, grammar and more. We offer free personalized SAT test prep in partnership with the test developer, the College Board. Khan Academy has been translated into dozens of languages, and 100 million people use our platform worldwide every year. For more information, visit www.khanacademy.org, join us on Facebook or follow us on Twitter at @khanacademy. And remember, you can learn anything.",,2008-06-08T02:31:29Z,2459465,12211,linear_algebra,691,PT11M51S,sd,True,"['Is this course different compared to the course on the website?', 'This video was literally  made the exact month, day, and year I was born 🤗', '9:46', 'Thousands thanks for Khan Academy', '9:04 you meant -5', 'Me in algebra 2 class at 7:44am watching this because I’m to scared to ask for help \U0001f9cd\u200d♀️', ""Gonna watch this entire playlist. I'll see how this goes lol"", '""Hold on my wife is here..."" LOL', ""9:26 - shouldn't it be negative 5? I believe you forgot to apply the negative one for the five."", '0+(-5)= -5 may be this is mistake']"
aKhhYguY0DQ,Khan Academy,Matrix multiplication (part 1),"Multiplying two 2x2 matrices.

Practice this yourself on Khan Academy right now: https://www.khanacademy.org/e/multiplying_a_matrix_by_a_matrix?utm_source=YTdescription&utm_medium=YTdescription&utm_campaign=YTdescription",,2008-06-08T02:20:10Z,1303308,5794,linear_algebra,424,PT13M41S,sd,True,"[""khan academy is my saviour, the depth of the explanations are way beyond any professors I've had! Makes me feel like I can take time to understand the material"", 'Good man', 'Ty sal', 'Idk if anyone noticed, but the coordinate 2,2 should be 2', 'Thank you very much for this video! It really helped to have an example to show how the multiplication works and also why the order in the multiplication matters.', 'Am I the only person on earth that finds matrix algebra easier than trig :(', 'The value for 1,2 is not 10 it is -10', 'What class are these from on the Khan site?', '1.2 million views.....', 'it is -10 ??????????????? not 10']"
OAh573i_qn8,Khan Academy,Matrix multiplication (part 2),More on multiplying matrices.,,2008-06-08T02:42:14Z,718230,3079,linear_algebra,307,PT14M37S,sd,True,"[""I think it should've been 1 24 12 19\n\n19 should replace 4"", 'can anyone tell me that matrix dimensions are not equal because in 1st matrix there are 2 rows and in the second matrix there are 3 rows how we can multiply sir you told in 1 st video dimensions are not the same then we cannot add two matrixes', 'Thank you very much for this video! It was a great video showing the mechanics behind matrix multiplication! It also helps me understand how the different rows/columns in each matrix are used for multiplication, and also how the columns/rows (i.e. the inner numbers) correspond to the elements used for each dot product.', 'EZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZZ THANKS', 'I love you', 'haha yeah you can stop bolding xD', 'i love khan academy he explains hard stuff very simply', '10:39 Love your dedication to the math! This gave me a good laugh, lol.', ""Look man.... I'm 23 years old. I've likely used Khan Academy for math since... easily 6th grade. Now I'm using it for background in calculus and linear algebra as I progress down to maximum likelihood estimation, graduate level linear algebra and statistical methods. And I couldn't be more thankful."", 'Just started this topic and already learning soo much. Thankyou']"
iUQR0enP7RQ,Khan Academy,Idea behind inverting a 2x2 matrix | Matrices | Precalculus | Khan Academy,"What the inverse of a matrix is. Examples of inverting a 2x2 matrix.

Practice this lesson yourself on KhanAcademy.org right now: 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/e/matrix_inverse_2x2?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Watch the next lesson: https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/matrices-to-solve-a-system-of-equations?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Missed the previous lesson? 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/inverse-of-a-2x2-matrix?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Precalculus on Khan Academy: You may think that precalculus is simply the course you take before calculus. You would be right, of course, but that definition doesn't mean anything unless you have some knowledge of what calculus is. Let's keep it simple, shall we? Calculus is a conceptual framework which provides systematic techniques for solving problems. These problems are appropriately applicable to analytic geometry and algebra. Therefore....precalculus gives you the background for the mathematical concepts, problems, issues and techniques that appear in calculus, including trigonometry, functions, complex numbers, vectors, matrices, and others. There you have it ladies and gentlemen....an introduction to precalculus!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to Khan AcademyÃ¢â‚¬â„¢s Precalculus channel:
https://www.youtube.com/channel/UCBeHztHRWuVvnlwm20u2hNA?sub_confirmation=1
Subscribe to Khan Academy: https://www.youtube.com/subscription_center?add_user=khanacademy",,2008-06-08T17:36:55Z,1280000,4319,linear_algebra,402,PT14M15S,sd,True,"['You are a legend, as alawys', 'Your videos are so helpful. Thank you so much!', 'eh un peu nulle ta qualite on est en 2008 ou koi mdr', 'Ahhhh! My brain!', 'thanks for the vid!', 'I wish this video had an updated version with better resolution.', 'Thank you very much for this video! It was a good basic video regarding the identity matrix and the inverse of a matrix!', 'thannkss', '12 years later and the black and green theme still gives me nostalgia', 'ISLAWADE FOREVER!!']"
S4n-tQZnU6o,Khan Academy,Classic video on inverting a 3x3 matrix part 1 | Matrices | Precalculus | Khan Academy,"Inverting a 3x3 matrix

Practice this lesson yourself on KhanAcademy.org right now: 
https://www.khanacademy.org/e/matrix_inverse_3x3?utm_source=YTdescription&utm_medium=YTdescription&utm_campaign=YTdescription

Watch the next lesson: https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/inverting-matrices-part-3?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Missed the previous lesson? 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/inverting-3x3-part-2-determinant-and-adjugate-of-a-matrix?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Precalculus on Khan Academy: You may think that precalculus is simply the course you take before calculus. You would be right, of course, but that definition doesn't mean anything unless you have some knowledge of what calculus is. Let's keep it simple, shall we? Calculus is a conceptual framework which provides systematic techniques for solving problems. These problems are appropriately applicable to analytic geometry and algebra. Therefore....precalculus gives you the background for the mathematical concepts, problems, issues and techniques that appear in calculus, including trigonometry, functions, complex numbers, vectors, matrices, and others. There you have it ladies and gentlemen....an introduction to precalculus!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to Khan AcademyÃ¢â‚¬â„¢s Precalculus channel:
https://www.youtube.com/channel/UCBeHztHRWuVvnlwm20u2hNA?sub_confirmation=1
Subscribe to Khan Academy: https://www.youtube.com/subscription_center?add_user=khanacademy",,2008-06-08T20:10:52Z,818645,3239,linear_algebra,344,PT16M45S,sd,True,"['time for a new video', 'My professor is giving me equations where inverting a 4x4 matrix is only a part of it 😢', 'Very bad', 'We had to invert a 5x5 matrix of an economic model, and do all the related operation with a 5x5 matrix for an assignment. We were given 6 days to complete. Seemed a bit unfair', 'Terrible', 'Sir, why they did not use the same minor and cofactor rule for 2×2 matrix.', 'How do you know the steps for this? Very interested to learn the proof and history behind this.', 'This is soo old', 'You are smart yoooo', 'Which Mathematician had come up with this idea?']"
obts_JDS6_Q,Khan Academy,Classic video on inverting a 3x3 matrix part 2 | Matrices | Precalculus | Khan Academy,"Using Gauss-Jordan elimination to invert a 3x3 matrix.

Practice this lesson yourself on KhanAcademy.org right now: 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/e/matrix_inverse_3x3?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Watch the next lesson: https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/singular-matrices?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Missed the previous lesson? 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/inverting-matrices-part-2?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Precalculus on Khan Academy: You may think that precalculus is simply the course you take before calculus. You would be right, of course, but that definition doesn't mean anything unless you have some knowledge of what calculus is. Let's keep it simple, shall we? Calculus is a conceptual framework which provides systematic techniques for solving problems. These problems are appropriately applicable to analytic geometry and algebra. Therefore....precalculus gives you the background for the mathematical concepts, problems, issues and techniques that appear in calculus, including trigonometry, functions, complex numbers, vectors, matrices, and others. There you have it ladies and gentlemen....an introduction to precalculus!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to Khan AcademyÃ¢â‚¬â„¢s Precalculus channel:
https://www.youtube.com/channel/UCBeHztHRWuVvnlwm20u2hNA?sub_confirmation=1
Subscribe to Khan Academy: https://www.youtube.com/subscription_center?add_user=khanacademy",,2008-06-08T22:41:46Z,546458,1534,linear_algebra,143,PT13M36S,sd,True,"['I literally confused as f', 'brilliant wow really awesome!!!', 'Linear algebra is such an elegant study', ""Hey, it's 2021 and these videos from 13 years ago are saving my university economics degree, thank you ❤🤣🤣"", '10:00 to 13:00 \nMIND == BLOWN', ""My lecture said we aren't allowed to use this method, we would get zero if we used it. Is this normal?"", 'The elementary operations which transformed the matrix A to Identity matrix I will transform the Identity matrix I to A-1. Thanks Sal.', '29 teachers disliked the video, left the chat and quit teaching', 'thank you soo much this was super helpful', ""Thank you very much for all these videos and explanations!! I'm very grateful!""]"
AUqeb9Z3y3k,Khan Academy,Matrices to solve a system of equations | Matrices | Precalculus | Khan Academy,"Using the inverse of a matrix to solve a system of equations.

Practice this yourself on Khan Academy right now: https://www.khanacademy.org/e/writing-systems-of-equations-as-matrix-equations?utm_source=YTdescription&utm_medium=YTdescription&utm_campaign=YTdescription

Watch the next lesson: https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/matrices-to-solve-a-vector-combination-problem?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Missed the previous lesson? 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/inverse-matrix-part-1?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Precalculus on Khan Academy: You may think that precalculus is simply the course you take before calculus. You would be right, of course, but that definition doesn't mean anything unless you have some knowledge of what calculus is. Let's keep it simple, shall we? Calculus is a conceptual framework which provides systematic techniques for solving problems. These problems are appropriately applicable to analytic geometry and algebra. Therefore....precalculus gives you the background for the mathematical concepts, problems, issues and techniques that appear in calculus, including trigonometry, functions, complex numbers, vectors, matrices, and others. There you have it ladies and gentlemen....an introduction to precalculus!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to Khan AcademyÃ¢â‚¬â„¢s Precalculus channel:
https://www.youtube.com/channel/UCBeHztHRWuVvnlwm20u2hNA?sub_confirmation=1
Subscribe to Khan Academy: https://www.youtube.com/subscription_center?add_user=khanacademy",,2008-06-14T17:42:53Z,1410577,5179,linear_algebra,424,PT16M33S,sd,True,"['lately your math calculations have been helping me alot. Thank you very much Sir.', ""Love how you can't stop thinking about The Matrix Movie while doing matrices..............Thanks alot for this free and valuable education SAL💖💖"", 'سبحان الله وبحمده سبحان الله العظيم\nاستغفر الله العظيم الذي لا إله إلا هو الحي القيوم و أتوب إليه\nسبحان الله وبحمده عدد خلقه ورضا نفسه وزنة عرشه ومداد كلماته\nاللهم صَلِّ وسَلّمْ عَلَى نَبِيْنَا مُحَمد ﷺ', 'ورد عن رسول الله ﷺ:\xa0اللهم أنت ربي لا إله إلا أنت، خلقتني وأنا عبدك، وأنا على عهدك ووعدك ما استطعت، أعوذ بك من شر ما صنعت، أبوء لك بنعمتك علي، وأبوء بذنبي فاغفر لي فإنه لا يغفر الذنوب إلا أنت، من قالها حين يمسي فمات من ليلته دخل الجنة، ومن قالها حين يصبح فمات من يومه دخل الجنة', 'Thank you very much for the excellent video.', 'Thanks for making me love maths without asking for even a single penny. you deserve the best in the world. Sal 💙', 'I love you man', '2:26 y= -3/2.x +7/2', 'Still helping with matrices in 2021 🙏', 'i’m in calc and i’d NEVER even heard of these until i was taking the pre-ACT a few weeks ago... thank god for khan academy']"
gsNgdVdAT1o,Khan Academy,Matrices to solve a vector combination problem | Matrices | Precalculus | Khan Academy,"Using matrices to figure out if some combination of 2 vectors can create a 3rd vector

Watch the next lesson: https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/finding-the-determinant-of-a-3x3-matrix-method-1?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Missed the previous lesson? 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/matrices-to-solve-a-system-of-equations?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Precalculus on Khan Academy: You may think that precalculus is simply the course you take before calculus. You would be right, of course, but that definition doesn't mean anything unless you have some knowledge of what calculus is. Let's keep it simple, shall we? Calculus is a conceptual framework which provides systematic techniques for solving problems. These problems are appropriately applicable to analytic geometry and algebra. Therefore....precalculus gives you the background for the mathematical concepts, problems, issues and techniques that appear in calculus, including trigonometry, functions, complex numbers, vectors, matrices, and others. There you have it ladies and gentlemen....an introduction to precalculus!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to Khan AcademyÃ¢â‚¬â„¢s Precalculus channel:
https://www.youtube.com/channel/UCBeHztHRWuVvnlwm20u2hNA?sub_confirmation=1
Subscribe to Khan Academy: https://www.youtube.com/subscription_center?add_user=khanacademy",,2008-06-14T18:18:30Z,314756,950,linear_algebra,95,PT14M20S,sd,True,"[""the best explanations of the matrix math I ever seen on youtube even 13 yrs later this vid has been uploaded! Khan, you're the best. Please keep doing it!"", 'In the second step, the organization of the matrices is just one possible way of setting up the problem, right?', 'Love linear algebra', 'Why use the guass Jordan elimination method ?? Just wanted to have a reason behind the question', 'So maths is the language of God ? Amen.', 'This is wonderful', '6:35 ""Now, this right here...."" *IS MY, SWAG.* Missed trolling opportunities', 'What happened to the 1/30 :O', '11:13 why are we shifting vector b in the graph,Its confusing and does not make sense', 'Thank you']"
UqyN7-tRS00,Khan Academy,Singular matrices | Matrices | Precalculus | Khan Academy,"When and why you can't invert a matrix.

Practice this lesson yourself on KhanAcademy.org right now: 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/e/matrix_inverse_3x3?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Watch the next lesson: https://www.khanacademy.org/math/precalculus/precalc-matrices/matrix-equations/v/matrix-equations-systems?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Missed the previous lesson? 
https://www.khanacademy.org/math/precalculus/precalc-matrices/inverting_matrices/v/inverting-matrices-part-3?utm_source=YT&utm_medium=Desc&utm_campaign=Precalculus

Precalculus on Khan Academy: You may think that precalculus is simply the course you take before calculus. You would be right, of course, but that definition doesn't mean anything unless you have some knowledge of what calculus is. Let's keep it simple, shall we? Calculus is a conceptual framework which provides systematic techniques for solving problems. These problems are appropriately applicable to analytic geometry and algebra. Therefore....precalculus gives you the background for the mathematical concepts, problems, issues and techniques that appear in calculus, including trigonometry, functions, complex numbers, vectors, matrices, and others. There you have it ladies and gentlemen....an introduction to precalculus!

About Khan Academy: Khan Academy offers practice exercises, instructional videos, and a personalized learning dashboard that empower learners to study at their own pace in and outside of the classroom. We tackle math, science, computer programming, history, art history, economics, and more. Our math missions guide learners from kindergarten to calculus using state-of-the-art, adaptive technology that identifies strengths and learning gaps. We've also partnered with institutions like NASA, The Museum of Modern Art, The California Academy of Sciences, and MIT to offer specialized content.

For free. For everyone. Forever. #YouCanLearnAnything

Subscribe to Khan AcademyÃ¢â‚¬â„¢s Precalculus channel:
https://www.youtube.com/channel/UCBeHztHRWuVvnlwm20u2hNA?sub_confirmation=1
Subscribe to Khan Academy: https://www.youtube.com/subscription_center?add_user=khanacademy",,2008-06-15T17:35:02Z,413328,1051,linear_algebra,61,PT14M27S,sd,True,"['intuition master', 'Sal told me he did this on an iPod touch', 'Best!!!', 'watching these video playlist with another tab opened and playing interstellar music at 30% volume is so awesome', 'most important videos are made at 240p but most cringe videos are made at 4K', 'Thank you sir..with Little mixing of f/d with f/y but its more than enough', 'Aljebra geometry okay  hard working', 'Noises of birds', 'good explanation', 'Someone actually explained this properly, i am eternally grateful ☺️☺️☺️']"
5tB7y_piK6o,Khan Academy,3-variable linear equations (part 1),Visual intuition of a 3-variable linear equation.,,2008-07-02T23:58:38Z,203015,610,linear_algebra,52,PT8M2S,sd,True,"['This video is older than me, but thanks for the explaination!', 'Third plane of the third equation can’t intercept the line, because x, y and z would have all three 0 as a value, since the result of this is equal to 0. It is not even a plane, it is nothing lol', 'I expect there should be three cases for 3 different planes which are non parallel in space...ist when all three will intersect at one point,(unique Solution) second when the third plane will pass through the line of intersection of ist two planes many solutions) and third when the third plane will not  intersect that line at all...(no solution)....\n  It seems all three are possible if we visualise it....', 'Where’s part 2', 'Why 0,0,8', 'howwww to find the next video i need that so much:((((', 'where is the second video???', 'why the deduction that the two planes will intersect in a line? @ 6:20', 'very interesting...', 'Three planes may intersect at three points, two points...one point...or NO point...but a line...i.e when all are concurrent.']"
